source,target,type
1604,-1379627036,undirected
1604,2035855208,undirected
1604,2037256733,undirected
1604,-179971860,undirected
1604,799789929,undirected
1604,75144018,undirected
1604,-1518673732,undirected
1604,-1189900809,undirected
1604,-404162934,undirected
1604,-2076890171,undirected
1604,288004481,undirected
55644,-966533969,undirected
55644,767324304,undirected
55644,-437332008,undirected
55644,-1286894040,undirected
55644,-1851760117,undirected
55644,-385711991,undirected
55644,-300579669,undirected
55644,-1271727079,undirected
35760,-1155129170,undirected
35760,98075180,undirected
35760,1136274292,undirected
35760,-1607117304,undirected
35760,-2117075954,undirected
1472,-938010818,undirected
1472,617611648,undirected
2397,791374565,undirected
2397,2021238170,undirected
2397,541279599,undirected
2397,1699206155,undirected
2397,-45397545,undirected
2397,1431441518,undirected
283,802547426,undirected
283,-1229660461,undirected
283,437940973,undirected
283,885558805,undirected
4181,810388240,undirected
4181,-841991421,undirected
4181,-911763424,undirected
33051,-966533969,undirected
33051,-1563969087,undirected
1142,887923046,undirected
1142,434453139,undirected
1142,1799404279,undirected
1142,-469146262,undirected
1142,-1607117304,undirected
1142,-1430841717,undirected
1142,-725035582,undirected
39592,201482628,undirected
39592,640546987,undirected
39592,616478732,undirected
85,201482628,undirected
85,-1464772840,undirected
19,-492332476,undirected
19,-1250646568,undirected
19,1739660556,undirected
19,-73528935,undirected
19,-1189900809,undirected
19,883856890,undirected
38337,-726183131,undirected
38337,1482206316,undirected
38337,1944151445,undirected
38337,1404135962,undirected
38337,1882535781,undirected
2001,-1948350991,undirected
2001,98075180,undirected
2001,-2142091587,undirected
2001,406278940,undirected
2001,-2093312339,undirected
5040,1963706696,undirected
5040,-503331395,undirected
5040,644770853,undirected
11977,394478779,undirected
11977,-56899984,undirected
11977,1924976896,undirected
11977,-515277882,undirected
11977,571230054,undirected
11977,-890796360,undirected
